תאריך,מסכת,פרק,משנה,סימן,סעיף
01/11/2012,נזיר,ה-ו,ז-א,קמז,ד-ו
02/11/2012,נזיר,ו,ב-ג,קמז-ח,ז-א
03/11/2012,נזיר,ו,ד-ה,קמט-נ,א-ב
04/11/2012,נזיר,ו,ו-ז,קנ,ג-ה
05/11/2012,נזיר,ו,ח-ט,קנא,א-ג
06/11/2012,נזיר,ו,י-יא,קנא,ד-ו
07/11/2012,נזיר,ז,א-ב,קנא,ז-ט
08/11/2012,נזיר,ז,ג-ד,קנא,י-יב
09/11/2012,נזיר,ח,א-ב,קנב-ג,א-ב
10/11/2012,נזיר,ט,א-ב,קנג,ג-ה
11/11/2012,נזיר,ט,ג-ד,קנג,ו-ח
12/11/2012,נזיר-סוטה,ט-א,ה-א,קנג,ט-יא
13/11/2012,סוטה,א,ב-ג,קנג,יב-יד
14/11/2012,סוטה,א,ד-ה,קנג,טו-יז
15/11/2012,סוטה,א,ו-ז,קנג,יח-כ
16/11/2012,סוטה,א,ח-ט,קנג-ד,כא-א
17/11/2012,סוטה,ב,א-ב,קנד,ב-ד
18/11/2012,סוטה,ב,ג-ד,קנד,ה-ז
19/11/2012,סוטה,ב,ה-ו,קנד,ח-י
20/11/2012,סוטה,ג,א-ב,קנד,יא-יג
21/11/2012,סוטה,ג,ג-ד,קנד-ה,יד-א
22/11/2012,סוטה,ג,ה-ו,קנה-ו-ז,ב-א
23/11/2012,סוטה,ג,ז-ח,קנח,א-ג
24/11/2012,סוטה,ד,א-ב,קנח,ד-ו
25/11/2012,סוטה,ד,ג-ד,קנח,ז-ט
26/11/2012,סוטה,ד-ה,ה-א,קנח,י-יב
27/11/2012,סוטה,ה,ב-ג,קנח-ט,יג-ב
28/11/2012,סוטה,ה,ד-ה,קנט,ג-ה
29/11/2012,סוטה,ו,א-ב,קנט,ו-ח
30/11/2012,סוטה,ו,ג-ד,קנט,ט-יא
01/12/2012,סוטה,ז,א-ב,קנט,יב-יד
02/12/2012,סוטה,ז,ג-ד,קנט,טו-יז
03/12/2012,סוטה,ז,ה-ו,קנט,יח-כ
04/12/2012,סוטה,ז,ז-ח,קס,א-ג
05/12/2012,סוטה,ח,א-ב,קס,ד-ו
06/12/2012,סוטה,ח,ג-ד,קס,ז-ט
07/12/2012,סוטה,ח,ה-ו,קס,י-יב
08/12/2012,סוטה,ח-ט,ז-א,קס,יג-טו
09/12/2012,סוטה,ט,ב-ג,קסא,א-ג
10/12/2012,סוטה,ט,ד-ה,קסא-ב,ד-ב
11/12/2012,סוטה,ט,ו-ז,קסב,ג-ה
12/12/2012,סוטה,ט,ח-ט,קסב,ו-ח
13/12/2012,סוטה,ט,י-יא,קסב-ג,ט-א
14/12/2012,סוטה,ט,יב-יג,קסג-ד,ב-ב
15/12/2012,סוטה,ט,יד-טו,קסה-ו,א-א
16/12/2012,גיטין,א,א-ב,קסז,א-ג
17/12/2012,גיטין,א,ג-ד,קסז,ד-ו
18/12/2012,גיטין,א,ה-ו,קסז,ז-ט
19/12/2012,גיטין,ב,א-ב,קסז,י-יב
20/12/2012,גיטין,ב,ג-ד,קסז,יג-טו
21/12/2012,גיטין,ב,ה-ו,קסז,טז-יח
22/12/2012,גיטין,ב-ג,ז-א,קסז-ח,יט-א
23/12/2012,גיטין,ג,ב-ג,קסח,ב-ד
24/12/2012,גיטין,ג,ד-ה,קסח,ה-ז
25/12/2012,גיטין,ג,ו-ז,קסח,ח-י
26/12/2012,גיטין,ג-ד,ח-א,קסח,יא-יג
27/12/2012,גיטין,ד,ב-ג,קסח,יד-טז
28/12/2012,גיטין,ד,ד-ה,קסח-ט,יז-ב
29/12/2012,גיטין,ד,ו-ז,קסט-ע,ג-ב
30/12/2012,גיטין,ד,ח-ט,קע,ג-ה
